exp_index,exp_id,exp_type,instrument,sample_id,exp_note,sample_mass,sample_density,atmosphere,sample_volume
1,JG18OPX001_1_H1,high,KLY5-A,JG18OPX001,"Part of a series of five cyrogenic and heating experiments on a sample of copper wire. Experiments were carried out in the following order: JG18OPX001_1_L1, JG18OPX001_1_H1,  JG18OPX001_1_L2, JG18OPX001_1_H2, JG18OPX001_1_L3.",,,,
2,JG18OPX001_1_H2,high,KLY5-A,JG18OPX001,"Part of a series of five cyrogenic and heating experiments on a sample of copper wire. Experiments were carried out in the following order: JG18OPX001_1_L1, JG18OPX001_1_H1,  JG18OPX001_1_L2, JG18OPX001_1_H2, JG18OPX001_1_L3.",,,,
3,JG18OPX001_1_L1,low,KLY5-A,JG18OPX001,"Part of a series of five cyrogenic and heating experiments on a sample of copper wire. Experiments were carried out in the following order: JG18OPX001_1_L1, JG18OPX001_1_H1,  JG18OPX001_1_L2, JG18OPX001_1_H2, JG18OPX001_1_L3.",,,,
4,JG18OPX001_1_L2,low,KLY5-A,JG18OPX001,"Part of a series of five cyrogenic and heating experiments on a sample of copper wire. Experiments were carried out in the following order: JG18OPX001_1_L1, JG18OPX001_1_H1,  JG18OPX001_1_L2, JG18OPX001_1_H2, JG18OPX001_1_L3.",,,,
5,JG18OPX001_1_L3,low,KLY5-A,JG18OPX001,"Part of a series of five cyrogenic and heating experiments on a sample of copper wire. Experiments were carried out in the following order: JG18OPX001_1_L1, JG18OPX001_1_H1,  JG18OPX001_1_L2, JG18OPX001_1_H2, JG18OPX001_1_L3.",,,,
6,JG18OPX002A_1_H,high,KLY5-A,JG18OPX002A,"Part of a series of three cyrogenic and heating experiments on a sample of copper wire. Experiments were carried out in the following order: JG18OPX002A_1_L1, JG18OPX002A_1_H, JG18OPX002A_1_L2.",,,,
7,JG18OPX002A_1_L1,low,KLY5-A,JG18OPX002A,"Part of a series of three cyrogenic and heating experiments on a sample of copper wire. Experiments were carried out in the following order: JG18OPX002A_1_L1, JG18OPX002A_1_H, JG18OPX002A_1_L2.",,,,
8,JG18OPX002A_1_L2,low,KLY5-A,JG18OPX002A,"Part of a series of three cyrogenic and heating experiments on a sample of copper wire. Experiments were carried out in the following order: JG18OPX002A_1_L1, JG18OPX002A_1_H, JG18OPX002A_1_L2.",,,,
9,JG18OPX004_1_H,high,KLY5-A,JG18OPX004,"Part of a series of three cyrogenic and heating experiments on Malachite sample. Experiments where carried out in the following order: JG18OPX004_1_L1, JG18OPX004_1_H, JG18OPX004_1_L2.",,,,
10,JG18OPX004_1_L1,low,KLY5-A,JG18OPX004,"Part of a series of three cyrogenic and heating experiments on Malachite sample. Experiments where carried out in the following order: JG18OPX004_1_L1, JG18OPX004_1_H, JG18OPX004_1_L2.",,,,
11,JG18OPX004_1_L2,low,KLY5-A,JG18OPX004,"Part of a series of three cyrogenic and heating experiments on Malachite sample. Experiments where carried out in the following order: JG18OPX004_1_L1, JG18OPX004_1_H, JG18OPX004_1_L2.",,,,
12,JG18OPX009_1_H,high,KLY5-A,JG18OPX009,"Part of a series of two thermosusceptibility experiments carried out on a sample of Iron Sulphate Heptahydrate in the following order: JG18OPX009_1_L, JG18OPX009_1_H.",,,,
13,JG18OPX009_1_L,low,KLY5-A,JG18OPX009,"Part of a series of two thermosusceptibility experiments carried out on a sample of Iron Sulphate Heptahydrate in the following order: JG18OPX009_1_L, JG18OPX009_1_H.",,,,
14,JG18OPX016_1_L,low,KLY5-A,JG18OPX016,Stand alone cryogenic experiment on a sample of Wolframite.,,,,
15,JG18OPX021_1_H1,high,KLY5-A,JG18OPX021,"Part of a series of nine reheating experiments carried out on a sub-sample of weathered feldspars preceded and followed by cryogenic experiements in the following order: JG18OPX021_1_L1, JG18OPX021_1_H1, JG18OPX021_1_H2, JG18OPX021_1_H3, JG18OPX021_1_H4, JG18OPX021_1_H5, JG18OPX021_1_H6, JG18OPX021_1_H7, JG18OPX021_1_H8, JG18OPX021_1_H9, JG18OPX021_1_L2.",,,,
16,JG18OPX021_1_H2,high,KLY5-A,JG18OPX021,"Part of a series of nine reheating experiments carried out on a sub-sample of weathered feldspars preceded and followed by cryogenic experiements in the following order: JG18OPX021_1_L1, JG18OPX021_1_H1, JG18OPX021_1_H2, JG18OPX021_1_H3, JG18OPX021_1_H4, JG18OPX021_1_H5, JG18OPX021_1_H6, JG18OPX021_1_H7, JG18OPX021_1_H8, JG18OPX021_1_H9, JG18OPX021_1_L2.",,,,
17,JG18OPX021_1_H3,high,KLY5-A,JG18OPX021,"Part of a series of nine reheating experiments carried out on a sub-sample of weathered feldspars preceded and followed by cryogenic experiements in the following order: JG18OPX021_1_L1, JG18OPX021_1_H1, JG18OPX021_1_H2, JG18OPX021_1_H3, JG18OPX021_1_H4, JG18OPX021_1_H5, JG18OPX021_1_H6, JG18OPX021_1_H7, JG18OPX021_1_H8, JG18OPX021_1_H9, JG18OPX021_1_L2.",,,,
18,JG18OPX021_1_H4,high,KLY5-A,JG18OPX021,"Part of a series of nine reheating experiments carried out on a sub-sample of weathered feldspars preceded and followed by cryogenic experiements in the following order: JG18OPX021_1_L1, JG18OPX021_1_H1, JG18OPX021_1_H2, JG18OPX021_1_H3, JG18OPX021_1_H4, JG18OPX021_1_H5, JG18OPX021_1_H6, JG18OPX021_1_H7, JG18OPX021_1_H8, JG18OPX021_1_H9, JG18OPX021_1_L2.",,,,
19,JG18OPX021_1_H5,high,KLY5-A,JG18OPX021,"Part of a series of nine reheating experiments carried out on a sub-sample of weathered feldspars preceded and followed by cryogenic experiements in the following order: JG18OPX021_1_L1, JG18OPX021_1_H1, JG18OPX021_1_H2, JG18OPX021_1_H3, JG18OPX021_1_H4, JG18OPX021_1_H5, JG18OPX021_1_H6, JG18OPX021_1_H7, JG18OPX021_1_H8, JG18OPX021_1_H9, JG18OPX021_1_L2.",,,,
